path	area	role	lines	native_destination	dest_method	dest_confidence
tt_4.8.4/AntiSpawnKill/AntiSpawnKill.cpp	AntiSpawnKill	custom gameplay script	102	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/AntiSpawnKill/AntiSpawnKill.h	AntiSpawnKill	custom gameplay script	23	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/AntiSpawnKill/General.cpp	AntiSpawnKill	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/AntiSpawnKill/General.h	AntiSpawnKill	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CTF/CTF.cpp	CTF	custom gameplay script	777	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CTF/General.cpp	CTF	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CTF/General.h	CTF	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CharacterRefund/CharacterRefund.cpp	CharacterRefund	custom gameplay script	98	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CharacterRefund/CharacterRefund.h	CharacterRefund	custom gameplay script	21	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CharacterRefund/General.cpp	CharacterRefund	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/CharacterRefund/General.h	CharacterRefund	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/ExtraConsoleCommands/ExtraConsoleCommands.cpp	ExtraConsoleCommands	custom gameplay script	472	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/ExtraConsoleCommands/ExtraConsoleCommands.h	ExtraConsoleCommands	custom gameplay script	14	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/ExtraConsoleCommands/General.cpp	ExtraConsoleCommands	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/ExtraConsoleCommands/General.h	ExtraConsoleCommands	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/FirstBlood/FirstBlood.cpp	FirstBlood	custom gameplay script	85	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/FirstBlood/FirstBlood.h	FirstBlood	custom gameplay script	19	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/FirstBlood/General.cpp	FirstBlood	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/FirstBlood/General.h	FirstBlood	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/Launcher/Archive build/Archive.h	Launcher	installer/deployment	1	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Archive build/main.cpp	Launcher	installer/deployment	102	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Archive build/main.h	Launcher	installer/deployment	7	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/Browser.cpp	Launcher	installer/deployment	452	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/Browser.h	Launcher	installer/deployment	412	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/BrowserAPI.h	Launcher	installer/deployment	154	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/BrowserEvents.cpp	Launcher	installer/deployment	484	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/BrowserInterface.cpp	Launcher	installer/deployment	77	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/ClientSite.cpp	Launcher	installer/deployment	47	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/CommandTarget.cpp	Launcher	installer/deployment	47	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/DocHost.cpp	Launcher	installer/deployment	100	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/Frame.cpp	Launcher	installer/deployment	69	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/InPlaceSite.cpp	Launcher	installer/deployment	98	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/InetProtocol.cpp	Launcher	installer/deployment	1105	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/InetProtocol.h	Launcher	installer/deployment	270	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/OleItemContainer.cpp	Launcher	installer/deployment	49	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/POSTParser.cpp	Launcher	installer/deployment	828	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/POSTParser.h	Launcher	installer/deployment	76	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/Storage.cpp	Launcher	installer/deployment	77	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Browser/dllmain.cpp	Launcher	installer/deployment	13	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/Core.h	Launcher	installer/deployment	36	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/CoreAPI.h	Launcher	installer/deployment	40	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/CoreEntry.cpp	Launcher	installer/deployment	71	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/CoreSelfupdate.cpp	Launcher	installer/deployment	121	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/CoreSpawnEntry.cpp	Launcher	installer/deployment	304	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/GameUpdate.cpp	Launcher	installer/deployment	278	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/GameUpdate.h	Launcher	installer/deployment	8	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/Settings.h	Launcher	installer/deployment	35	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/TriggerDetect.cpp	Launcher	installer/deployment	66	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/dllmain.cpp	Launcher	installer/deployment	12	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Core/resource.h	Launcher	installer/deployment	21	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/CallbackDownload.cpp	Launcher	installer/deployment	48	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/Downloader.h	Launcher	installer/deployment	164	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/DownloaderAPI.h	Launcher	installer/deployment	22	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/FileDownload.cpp	Launcher	installer/deployment	199	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/MemoryDownload.cpp	Launcher	installer/deployment	211	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/StreamDownload.cpp	Launcher	installer/deployment	190	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Downloader/dllmain.cpp	Launcher	installer/deployment	13	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Launcher/main.cpp	Launcher	installer/deployment	350	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Launcher/main.h	Launcher	installer/deployment	11	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aes.h	Launcher	installer/deployment	205	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aes_modes.c	Launcher	installer/deployment	918	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aes_via_ace.h	Launcher	installer/deployment	529	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aescpp.h	Launcher	installer/deployment	148	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aescrypt.c	Launcher	installer/deployment	301	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aeskey.c	Launcher	installer/deployment	555	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aesopt.h	Launcher	installer/deployment	746	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aestab.c	Launcher	installer/deployment	383	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/aestab.h	Launcher	installer/deployment	174	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/brg_endian.h	Launcher	installer/deployment	133	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/brg_types.h	Launcher	installer/deployment	223	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/AES/rdtsc.h	Launcher	installer/deployment	127	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Archive.cpp	Launcher	installer/deployment	640	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Archive.h	Launcher	installer/deployment	31	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Backup/Memory.cpp	Launcher	installer/deployment	253	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Backup/Memory.h	Launcher	installer/deployment	290	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Base.h	Launcher	installer/deployment	44	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/BaseClasses.cpp	Launcher	installer/deployment	77	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/BaseClasses.h	Launcher	installer/deployment	62	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Basetypes.h	Launcher	installer/deployment	33	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/ChunkClasses.cpp	Launcher	installer/deployment	189	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/ChunkClasses.h	Launcher	installer/deployment	61	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Debug.cpp	Launcher	installer/deployment	228	Code/Launcher	area-rule	high
