file	line	primitive	addresses	tt_replacement	intent_comment	openw3d_owner	mapping_method	confidence	disposition
tt_4.8.4/tt/WeaponClass.cpp	61	VirtualProtect	0x007E42E4			Code/Combat/ccamera.cpp	the two patched floats are the sniper FOV endpoints (MIN_FOV and the 0.8 zoom divisor); now _SniperZoomedInFOV/_SniperZoomedOutFOV, set through CCameraClass::Set_Sniper_Zoom_Range -- see better scope code	high	merged
tt_4.8.4/tt/WeaponClass.cpp	62	VirtualProtect	0x007E42E0			Code/Combat/ccamera.cpp	the two patched floats are the sniper FOV endpoints (MIN_FOV and the 0.8 zoom divisor); now _SniperZoomedInFOV/_SniperZoomedOutFOV, set through CCameraClass::Set_Sniper_Zoom_Range -- see better scope code	high	merged
tt_4.8.4/tt/cNetwork.cpp	108	JumpHookRegistrant	0x004569A0,0x00456AB0			Code/Commando/cnetwork.cpp	cNetwork::Init_Client exists natively; settled with the rest of the cNetwork cluster.	low	merged
tt_4.8.4/tt/tt.cpp	283	WriteMemory	0x0047EDA6		enable secret PT pages	Code/Commando/dlgcncpurchasemainmenu.cpp	merged natively behind TTSettingsClass::UseExtraPTPages; the laddered-game ban stands and the extras console command is left alone	high	merged
tt_4.8.4/tt/tt.cpp	284	WriteMemory	0x00427C80		enable secret PT pages	Code/Commando/dlgcncpurchasemainmenu.cpp	merged natively behind TTSettingsClass::UseExtraPTPages; the laddered-game ban stands and the extras console command is left alone	high	merged
tt_4.8.4/tt/tt.cpp	295	WriteMemory	0x0047F870		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	296	WriteMemory	0x0047F883		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	297	WriteNop	0x0047F8D3		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	298	WriteNop	0x0047F8DE		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	299	WriteMemory	0x0047F8E6		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	300	WriteMemory	0x0047F96D		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	301	WriteNop	0x0047F97C		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	302	WriteNop	0x0047F999		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	303	WriteMemory	0x0047F9A1		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	304	WriteMemory	0x004815B4		new unpurchasable logic	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp	Code/Commando/dlgcncpurchasemainmenu.cpp;Code/Commando/dlgcncpurchasemenu.cpp behind TTSettingsClass::NewUnpurchasableLogic	high	merged
tt_4.8.4/tt/tt.cpp	308	WriteNop	0x004B8F31		sidebar sounds patch to disable normal sound	Code/Commando/purchaseresponseevent.cpp	merged natively: SidebarSoundsEnabled suppresses the stock Purchase_Granted sound so a server's own purchase sounds are not doubled. TT's SidebarDlg itself is superseded by the roadmap's Commander sidebar	high	merged
tt_4.8.4/tt/tt.cpp	312	WriteJump	0x004F2C9D	List_Column_Patch	dialog box color changes	Code/wwui/listctrl.cpp	merged natively: ListCtrlClass::Add_Column honours TTSettingsClass::ListColumnColor when enabled	high	merged
tt_4.8.4/tt/tt.cpp	316	WriteMemory	0x0042DABC		version registry string change	Code/Commando/wolgmode.cpp	merged natively: Product::Initializer builds its key from TTSettingsClass::VersionRegistryKey	high	merged
tt_4.8.4/tt/tt.cpp	320	WriteMemory	0x004B2F57		WOL ingame URL string change	Code/Commando/_globals.h	merged natively: APPLICATION_SUB_KEY_NAME_URL builds from TTSettingsClass::WOLUrlRegistryKey	high	merged
tt_4.8.4/tt/tt.cpp	325	WriteMemory	0x004B8895		kill message disable	Code/Commando/playerkill.cpp	merged natively behind TTSettingsClass::DisableKillMessages	high	merged
tt_4.8.4/tt/tt.cpp	976	WriteCall	0x0043B905	KeyboardUpdateHook	custom keyboard keys hook	Code/Combat/input.cpp	declined under directive 0.5: keys.cfg exists so scripts2 plugins can claim hotkeys, and DoCombatKeyboard sends every unrecognised key over the scripts text channel. Canonical Input/InputConfigMgrClass already gives engine features rebindable named functions	high	n/a
