class	method	arity	virtual	openw3d_class	source_kind	source_file	source_line	address	openw3d_has	openw3d_owners	declaration
AABTreeCullSystemClass	Collect_Branch	1	0	present	declaration-only				nowhere		void Collect_Branch(AABTreeNodeClass * node);
AirFactoryGameObj	Get_Definition	0	0	absent	defined	tt_4.8.4/scripts/engine_obj.cpp	74				SCRIPTS_API const AirFactoryGameObjDef & Get_Definition (void) const;
AirFactoryGameObj	As_AirFactoryGameObj	0	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	24				AirFactoryGameObj * As_AirFactoryGameObj (void) { return this; }
AirFactoryGameObj	Get_Max_Vehicles_Per_Team	0	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	39				static int Get_Max_Vehicles_Per_Team(void) { return MaxVehiclesPerTeam; }
AirFactoryGameObj	Is_Available	0	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	32				bool Is_Available (void) const { return (IsBusy == false) && (IsDestroyed == false) && (IsDisabled == false); }
AirFactoryGameObj	Is_Busy	0	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	34				bool Is_Busy (void) const { return IsBusy; }
AirFactoryGameObj	Is_Disabled	0	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	35				bool Is_Disabled (void) const { return IsDisabled; }
AirFactoryGameObj	Set_Disabled	1	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	36				void Set_Disabled(bool disabled) { IsDisabled = disabled; Set_Object_Dirty_Bit (BIT_RARE, true);}
AirFactoryGameObj	Set_Max_Vehicles_Per_Team	1	0	absent	inline-header	tt_4.8.4/scripts/AirFactoryGameObj.h	38				static void Set_Max_Vehicles_Per_Team(int max) { MaxVehiclesPerTeam = max; }
AirFactoryGameObj	Create_Vehicle	2	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1233	AT2(0x006EDC80,0x006ED240)			void Create_Vehicle(int defintion_id,SoldierGameObj * player);
AirFactoryGameObj	Get_Team_Vehicle_Count	0	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1236	AT2(0x006F16B0,0x006F0C70)			int Get_Team_Vehicle_Count(void) const;
AirFactoryGameObj	Is_Available_For_Purchase	0	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1239	AT2(0x0070B6F0,0x0070ACB0)			bool Is_Available_For_Purchase (void) const;
AirFactoryGameObj	AirFactoryGameObj	0	0	absent	declaration-only				nowhere		AirFactoryGameObj (void);
AirFactoryGameObj	CnC_Initialize	1	0	absent	declaration-only				owned elsewhere	AirStripGameObj,BuildingGameObj,RefineryGameObj,RepairBayGameObj,SoldierFactoryGameObj,VehicleFactoryGameObj	void CnC_Initialize (BaseControllerClass *base);
AirFactoryGameObj	Export_Rare	1	0	absent	declaration-only				owned elsewhere	BackgroundMgrClass,BeaconGameObj,BuildingGameObj,C4GameObj,CinematicGameObj,DSAPONetworkObjectClass	void Export_Rare (BitStreamClass &packet);
AirFactoryGameObj	Get_Factory	0	0	absent	declaration-only				owned elsewhere	AccessiblePhysClass,AccessiblePhysDefClass,AirStripGameObj,AirStripGameObjDef,AmmoDefinitionClass,AttackActionCodeClass	const PersistFactoryClass & Get_Factory (void) const;
