name	declared_in	calls	disposition
Ranged_Stealth_On_Team	engine_tt.h	1	blocked-per-client-delivery
Find_Object	Commands->	909	done
Start_Timer	Commands->	607	done
Get_Position	Commands->	495	done
Get_ID	Commands->	451	done
Send_Custom_Event	Commands->	449	done
Get_Preset_Name	Commands->	429	done
Create_Object	Commands->	270	done
Set_Animation	Commands->	263	done
Enable_Enemy_Seen	Commands->	175	done
Action_Attack	Commands->	153	done
Get_Distance	Commands->	153	done
Get_Player_Type	Commands->	130	done
Destroy_Object	Commands->	125	done
Get_Vehicle	engine_obj2.h	111	done
Action_Reset	Commands->	106	done
Attach_Script	Commands->	104	done
Get_Health	Commands->	104	done
Get_Object_Type	engine_obj.h	92	done
Create_Sound	Commands->	78	done
Get_Random	Commands->	77	done
Set_Is_Rendered	Commands->	75	done
Enable_Hibernation	Commands->	73	done
Give_Money	Commands->	69	done
Set_Model	Commands->	61	done
Find_Building_By_Type	engine_game.h	59	done
Create_2D_Sound_Team	engine_tt.h	58	done
Console_Input	engine_common.h	57	done
Get_Animation_Frame	engine_phys.h	57	done
Innate_Enable	Commands->	57	done
Get_Facing	Commands->	56	done
Apply_Damage	Commands->	55	done
Set_Facing	Commands->	55	done
Attach_Script_Once	engine_script.h	49	done
Get_Vehicle_Driver	engine_obj2.h	49	done
Get_Max_Health	Commands->	46	done
Send_Message_Player	engine_tt.h	44	done
Stop_Timer2	engine_tt.h	44	done
Find_Definition	engine_def.h	43	done
Set_Health	Commands->	41	done
Get_Shield_Strength	Commands->	40	done
The_Game	engine_game.h	40	done
Change_Character	engine_obj2.h	39	done
Get_Building_Power	Commands->	39	done
Get_Random_Int	Commands->	39	done
Give_PowerUp	Commands->	39	done
Get_Model	engine_phys.h	38	done
Get_Player_ID	engine_player.h	38	done
Get_Max_Shield_Strength	Commands->	37	done
Set_Shield_Strength	Commands->	37	done
Send_Message_Team	engine_tt.h	36	done
Get_Money	Commands->	35	done
Get_Player_Name	engine_player.h	34	done
Remove_Weapon	engine_tt.h	34	done
Create_2D_WAV_Sound_Player	engine_tt.h	33	done
Is_VTOL	engine_obj2.h	32	done
Select_Weapon	Commands->	27	done
Set_Player_Type	Commands->	27	done
Attach_To_Object_Bone	Commands->	26	done
Create_2D_Sound	Commands->	25	done
Grant_Powerup	engine_obj.h	24	done
Create_2D_WAV_Sound_Team	engine_tt.h	23	done
Get_Bone_Position	Commands->	23	done
Is_Script_Attached	engine_script.h	21	done
Create_Explosion	Commands->	20	done
Disable_All_Collisions	Commands->	20	done
Get_Definition_Name	engine_def.h	20	done
Get_Fly_Mode	engine_obj2.h	20	done
Get_Weapon	engine_weap.h	20	done
Set_Powerup_Always_Allow_Grant	engine_obj.h	20	done
Set_Position	Commands->	19	done
Toggle_Fly_Mode	engine_obj2.h	19	done
Is_A_Star	Commands->	18	done
Is_Building_Dead	engine_game.h	18	done
