donor_name	canonical	note
Get_Object_Type	Get_Player_Type	the same field; Get_Player_Type answers a DamageableGameObj since P04-C1
Set_Object_Type	Set_Player_Type	ditto
Find_Closest_Preset_By_Team	Find_Nearest_Preset	argument order differs: (position, preset, team)
Send_Custom_Event_To_Object	Send_Custom_To_Preset	the donor name says object; it sends to every object of a preset
Get_Vehicle_Return	Get_Vehicle	canonical Get_Vehicle already answers the object itself when it is not a rider
Attach_Script_Preset_Once	Attach_Script_Preset	once=true
Attach_Script_Type_Once	Attach_Script_Type	once=true
Attach_Script_Is_Preset	Attach_Script_Preset	the single-object form; test the preset at the call site
Attach_Script_Is_Type	Attach_Script_Type	the single-object form; test the class id at the call site
Change_Team_2	Change_Team	destroy_object=false
Is_Harvester_Preset	Is_Harvester	canonical asks the base, not the preset table
Get_Team_Color	Get_Color_For_Team	canonical returns a Vector3 of 0..1 rather than three 0..255 ints
Find_Definition	Is_Valid_Preset_ID / Get_Definition_Name	a script has no use for the DefinitionClass itself; ask what it wanted to know
Get_GameObj	Find_Object_By_Player_ID	see TTScriptApiGap.tsv: still to port
Get_Player_Name	Get_Wide_Player_Name	the canonical one answers wide, which is what the name actually is; the donor narrowed it into a buffer the caller had to free
Grant_Powerup	Give_PowerUp	canonical takes a third argument for whether the pickup shows on the HUD; granting one is the same as picking one up, so it does
Get_Random_Int	Get_Random_Int	SAME NAME, SAME RANGE -- port calls unchanged. Both stop one below the upper bound: CRandom::Get_Int(min,max) is Get_Int(max-min)+min and Get_Int(n) is (...)%n, so the result is [min,max). scriptcommands.h says so; the 'both inclusive' comments in Code/Combat/crandom.h are wrong and cost one session a set of off-by-one 'fixes' (reverted). Stock agrees: Mission01.cpp:7533 indexes Powerups[2] with Get_Random_Int(0,2). Note min==max divides by zero
GetExplosionObj	Get_Explosion_Object	the mine, C4 or beacon whose blast is being resolved, read from inside Damaged/Killed. Recorded by DamageContextClass (Code/Combat/damagecontext.h) around C4GameObj::Detonate and BeaconGameObj::Create_Explosion
Stop_Timer2	Stop_Timer	the canonical one already takes the timer id, so there is nothing for a second form to add
The_Game	GameInfoInterfaceClass	not a script command: the game-info seam, Code/Combat/gameinfo.h, implemented Commando-side by GameInfoImplClass
Change_Time_Limit	GameInfoInterfaceClass::Set_Time_Limit_Minutes	same seam
Change_Time_Remaining	GameInfoInterfaceClass::Set_Time_Remaining_Seconds	same seam, in seconds
Enable_Team_Radar	Enable_Radar_Team	argument order: the canonical one takes the side first
Create_2D_Sound_Team	Create_2D_Sound_Team	SAME NAME, ARGUMENTS SWAPPED -- the canonical one takes the side first, the donor took the sound first. Silent at the call site because both are one pointer and one int only after conversion; check every ported call
SoldierGameObjList	GameObjManager::Get_Smart_Game_Obj_List	the 4.8.4 library kept a list of every soldier; this tree keeps one list of smart objects. Walk that and ask each for As_SoldierGameObj
Clear_Animation	Set_Animation	PhysicalGameObj has no Clear_Animation here. An empty animation name is how the engine is told to stop: ScriptEngine::Set_Animation(obj, "", false)
TT_UNREACHABLE		not a name to port. It marks a branch the donor believed could not happen, usually the fourth case of a three-value rank. Ported code answers the default instead of asserting
CUSTOM_VETERANCY_PROMOTED		dp88_custom_timer_defines.h constant, 0xDA010001. The dp88 files are out of scope but jfwobj.cpp uses three of their numbers, so they are spelled out in Code/Scripts/TT_Objects.cpp with the same values
CUSTOM_VEHICLE_DEPLOY		same header, 0xDA000004: 0 stowed, 1 deploying, 2 deployed, 3 stowing
CUSTOM_RADAR_JAM		same header, 0xDA000005: 0 switches the enemy radar off, 1 back on
