ID	RoadmapItem	System	Shared	CoreFiles	GeneralsMDFiles	CoreSources	GeneralsMDSources
ZH-01	1	Asset exclusion / residency	Core+GeneralsMD	7	4	Core/GameEngine/Include/Common/ArchiveFile.h;Core/GameEngine/Include/Common/ArchiveFileSystem.h;Core/GameEngine/Include/Common/GameMemory.h;Core/GameEngine/Source/Common/System/ArchiveFile.cpp;Core/GameEngine/Source/Common/System/ArchiveFileSystem.cpp;Core/GameEngine/Source/Common/System/GameMemory.cpp;Core/Tools/assetcull/assetcull.cpp	GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DAssetManager.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DAssetManagerExposed.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DAssetManager.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DAssetManagerExposed.cpp
ZH-02	2	Sectional bridge renderer	Core+GeneralsMD	2	8	Core/GameEngine/Include/GameClient/TerrainRoads.h;Core/GameEngine/Source/GameClient/Terrain/TerrainRoads.cpp	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BridgeBehavior.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BridgeScaffoldBehavior.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Module/BridgeTowerBehavior.h;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/BridgeBehavior.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/BridgeScaffoldBehavior.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/BridgeTowerBehavior.cpp;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DBridgeBuffer.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DBridgeBuffer.cpp
ZH-03	3	Runtime road renderer	GeneralsMD	0	4		GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DBibBuffer.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DRoadBuffer.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DBibBuffer.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp
ZH-04	4	Heightmap / terrain framework	Core+GeneralsMD	12	4	Core/GameEngine/Include/GameClient/TerrainVisual.h;Core/GameEngine/Source/GameClient/Terrain/TerrainVisual.cpp;Core/GameEngineDevice/Include/W3DDevice/GameClient/BaseHeightMap.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/FlatHeightMap.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/HeightMap.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DTerrainVisual.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/WorldHeightMap.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMap.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/FlatHeightMap.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/HeightMap.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DTerrainVisual.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/WorldHeightMap.cpp	GeneralsMD/Code/GameEngine/Include/GameLogic/TerrainLogic.h;GeneralsMD/Code/GameEngine/Source/GameLogic/Map/TerrainLogic.cpp;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameLogic/W3DTerrainLogic.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameLogic/W3DTerrainLogic.cpp
ZH-05	5	Terrain texture system	Core	6	0	Core/GameEngine/Include/Common/TerrainTypes.h;Core/GameEngine/Source/Common/TerrainTypes.cpp;Core/GameEngineDevice/Include/W3DDevice/GameClient/TerrainTex.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/TileData.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTex.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/TileData.cpp	
ZH-06	6	Tree / foliage buffer	Core	8	0	Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DPropDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DTreeDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DPropBuffer.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DTreeBuffer.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DPropDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTreeDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DPropBuffer.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DTreeBuffer.cpp	
ZH-07	7	Reflective river / water	Core+GeneralsMD	4	2	Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DWater.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DWaterTracks.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWater.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWaterTracks.cpp	GeneralsMD/Code/Tools/WorldBuilder/include/WaterOptions.h;GeneralsMD/Code/Tools/WorldBuilder/src/WaterOptions.cpp
ZH-08	8	Projected / cached shadows	GeneralsMD	0	9		GeneralsMD/Code/GameEngine/Include/GameClient/Shadow.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DBufferManager.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DProjectedShadow.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DShadow.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DVolumetricShadow.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DBufferManager.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DProjectedShadow.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DShadow.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DVolumetricShadow.cpp
ZH-09	9	Terrain tracks / surface ribbons	Core	4	0	Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DScorch.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DTerrainTracks.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DScorch.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DTerrainTracks.cpp	
ZH-10	10	Particle batching	Core	4	0	Core/GameEngine/Include/GameClient/ParticleSys.h;Core/GameEngine/Source/GameClient/System/ParticleSys.cpp;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DParticleSys.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DParticleSys.cpp	
