SHA	AuthorDate	Type	Scope	Subject	Systems	Trees	Files
9fee97a17	2026-08-21	refactor	gamestate	refactor(gamestate): Decouple result handling from game state (#3000)		Core;GeneralsMD	11
a82fab89c	2026-08-21	bugfix	modulefactory	bugfix(modulefactory): Fix mismatch caused by W3D module additions in Generals (#3180)		Core	1
5b22a6c9a	2026-08-21	bugfix	shell	bugfix(shell): Prevent menu crashing by avoiding initializing layouts during teardown (#3158)		Core	2
4f9fafe62	2026-08-21	bugfix	selection	bugfix(selection): Prevent objects from being appended to a selection if they are not mass-selectable (#3169)		Core	1
ac2eebe1a	2026-08-13	refactor	scorch	refactor(scorch): Store scorch structs in a deque (#3159)	ZH-09	Core	2
00d67999a	2026-08-13	refactor	scorch	refactor(scorch): Reorganize scorch deduplication and buffer writes (#3159)	ZH-09	Core	2
f71bdf0da	2026-08-13	chore	scorch	chore(scorch): Remove debug sample marks (#3159)	ZH-09	Core	1
53845b715	2026-08-13	fix	scorch	fix(scorch): Releasing old scorch buffers before allocation (#3159)	ZH-09	Core	1
893aaa1b6	2026-08-13	bugfix	scorch	bugfix(scorch): Deduplicate before evicting the oldest scorch (#3159)	ZH-09	Core	1
60a9f20d0	2026-08-19	fix	saveload	fix(saveload): Use getFinalOverride in WeaponSet xfer load to match Object constructor (#2160)		GeneralsMD	6
73fa3d021	2026-08-19	unify	particlesys	unify(particlesys): Move W3DParticleSys.h to Core (#3172)	ZH-10	Core;GeneralsMD	6
842c6a105	2026-08-20	bugfix	contain	bugfix(contain): Preserve occupants when transferring assets to allies (#3124)		GeneralsMD	2
33a3f8f00	2026-08-19	bugfix	aiupdate	bugfix(aiupdate): Let Tunnel Network passengers exit from any Tunnel Object again (#3136)		GeneralsMD	16
242f5a4c1	2026-08-18	refactor	particlesys	refactor(particlesys): Cleanup retail smudge particle type identification (#3162)	ZH-10	Core	3
15b02ffe9	2026-08-18	test	neutronmissile	test(neutronmissile): Add debug draw for nuke missile radius (#3160)		GeneralsMD	2
c98fcafa5	2026-08-18	feat	string	feat(string): Implement UTF-8 string conversion and validation functions (#2528)		Core	6
a40cdb66d	2026-08-16	bugfix	object	bugfix(object): The KINDOF_NO_SELECT flag now prevents an object from being selected (#3125)		GeneralsMD	2
fba44b797	2026-08-16	bugfix	scorch	bugfix(scorch): Fix diffuse color calculation of scorches (#3153)	ZH-09	Core	1
d95a9f8c9	2026-08-16	perf	smudge	perf(smudge): Early return W3DSmudgeManager::render when no smudges are present (#3140)	ZH-22	Core	1
ec0658a35	2026-08-15	bugfix	ai	bugfix(ai): Attacking infantry no longer attempt to path to their targets when force-evacuated from a vehicle (#3098)	ZH-24	GeneralsMD	4
1ccf5d1cf	2026-08-15	bugfix	selection	bugfix(selection): Fix group index range in SelectionTranslator::onMetaViewTeam() (#3139)		Core	1
5dd1200d7	2026-08-15	bugfix	chinookaiupdate	bugfix(chinookaiupdate): Helicopter enter commands are now ignored if the target to enter is invalid or ourselves (#3115)		GeneralsMD	2
bf797298a	2026-08-15	bugfix	horde	bugfix(horde): Prevent dead units from being considered for horde membership (#3067)		GeneralsMD	2
fbcc7b92c	2026-08-06	unify	shell	unify(shell): Move Shell to Core (#3070)		Core;GeneralsMD	21
8a7940588	2026-08-14	perf	script	perf(script): Reduce cost of ScriptEngine::findScript() by around 85% (#3096)		GeneralsMD	4
eccb41ef5	2026-08-14	bugfix	heightmap	bugfix(heightmap): Fix ray casting in BaseHeightMapRenderObjClass::Cast_Ray (2) (#2869)	ZH-04	Core	5
fad5ba73a	2026-08-14	refactor		refactor: Simplify slot-to-player lookups (#3034)		Core;GeneralsMD	19
66804e109	2026-08-14	bugfix	scorch	bugfix(scorch): Prevent volatile scorches from evicting static map scorches (#3114)	ZH-04;ZH-09	Core;GeneralsMD	7
dc5408780	2026-08-03	bugfix	pathfinder	bugfix(pathfinder): Prevent a retail crash where a pathfindCell has a dangling linked list pointer (#3113)	ZH-24	Core	1
55ccd6204	2026-08-03	bugfix	pathfinder	bugfix(pathfinder): Prevent a retail crash where the head of the closed list has no associated m_info (#3113)	ZH-24	Core	1
ae07b29f4	2026-06-07	bugfix	milesaudiomanager	bugfix(milesaudiomanager): Prevent dangling pointer to AudioEventRTS in PlayingAudio when handing it over to a new AudioRequest after a call to MilesAudioManager::startNextLoop() (#2774)		Core	10
d8c2d4d3b	2026-06-07	refactor	audioevent	refactor(audioevent): Add RefCountClass to DynamicAudioEventRTS (#2774)	ZH-18	Core;GeneralsMD	12
a2b5d7210	2026-08-13	bugfix	scorch	bugfix(scorch): Update scorch texture mip quality when changing texture quality setting (#3119)	ZH-04;ZH-09	Core	3
4990ca933	2026-08-13	unify	drawable	unify(drawable): Merge most of Drawable and Locomotor (#3097)	ZH-18	GeneralsMD	13
f1dda175e	2026-08-13	ci	vcpkg	ci(vcpkg): Limit setup to vcpkg presets (#3128)			1
a353c50c6	2026-08-13	bugfix	jetaiupdate	bugfix(jetaiupdate): Helicopters no longer land or remain landed at destroyed Airfields (#3080)		GeneralsMD	2
d17c18ff7	2026-08-12	tweak	gui	tweak(gui): Move animated GUI window smoothly at higher than 30 frames per second (#3061)		Core;GeneralsMD	6
27423a450	2026-08-11	refactor	network	refactor(network): Remove dynamic allocations for NetPacket (#2866)		Core	7
83ca91bc9	2026-08-11	refactor	baseheightmap	refactor(baseheightmap): Extract scorch rendering from BaseHeightMap into new W3DScorch (#3017)	ZH-04;ZH-09	Core	7
71a8c9e7a	2026-08-10	bugfix	aiupdate	bugfix(aiupdate): Don't process invalid exit commands (#3089)		GeneralsMD	2
00a0f2e49	2026-08-11	bugfix	jetaiupdate	bugfix(jetaiupdate): Save helicopter landing position (#3077)		GeneralsMD	2
dbbfd9520	2026-08-11	bugfix	stickybomb	bugfix(stickybomb): Allow Booby Traps to be placed on a previously booby-trapped object (#3060)		GeneralsMD	2
f49dc4c9b	2026-08-09	fix	namekey	fix(namekey): Canonicalize lowercase name keys (#3082)		GeneralsMD	2
377c714b6	2026-08-09	bugfix	contain	bugfix(contain): Allow passengers to exit immobilized Battle Buses (#3041)		GeneralsMD	2
a92d9c99a	2026-08-09	tweak	gui	tweak(gui): Change LAN emote buttons to chat buttons and implement /me emote text command in LAN chats (#1821)		Core;GeneralsMD	12
113900a15	2026-08-09	refactor		refactor: Use slot indices for player conversions (#3033)		Core;GeneralsMD	5
8015027d8	2026-08-09	chore		chore: Remove unused W3DCustomEdging class (#3079)	ZH-04	Core;GeneralsMD	12
ab7df8eaa	2026-08-09	bugfix	jetaiupdate	bugfix(jetaiupdate): Fix aircraft falling to their death if their Airfield is lost during their return flight (#3076)		GeneralsMD	2
1e2154225	2026-08-07	unify	w3ddevice	unify(w3ddevice): Move W3DDevice/Common to Core (#3073)		Core;GeneralsMD	20
81a76ad43	2026-08-08	unify	w3ddevice	unify(w3ddevice): Move W3DDevice/GameClient/GUI to Core (#3074)		Core;GeneralsMD	22
d823b2813	2026-08-08	unify	gui	unify(gui): Move EstablishConnectionsMenu to Core (#3069)		Core;GeneralsMD	8
296e28642	2026-08-07	refactor	w3dview	refactor(w3dview): Migrate raw pointers to RefCountPtr (#1763)		Core	14
ed224acce	2026-08-07	unify	gui	unify(gui): Move GUICallbacks to Core (#3068)		Core;GeneralsMD	26
674e953db	2026-08-06	fix	client	fix(client): Prevent movies from playing in headless mode (#3066)		Core;GeneralsMD	3
39e01d94b	2026-08-07	chore		chore: Update retail behaviour preservation flags (#3065)		Core	1
896d7c3d5	2026-08-07	feat	specialpower	feat(specialpower): Add INI option to start a special power without its initial reload time (#3054)		GeneralsMD	6
c30b17b20	2026-08-05	refactor	refcountptr	refactor(refcountptr): Simplify RefCountPtr's Create_No_Add_Ref, Create_Add_Ref and add Assign_No_Add_Ref, Assign_Add_Ref (#3058)	ZH-24	Core;GeneralsMD	9
16bf7dffb	2026-08-05	chore	refcountptr	chore(refcountptr): Include ref_ptr.h in WWCommon.h (#3059)	ZH-24	Core;GeneralsMD	9
50f27e057	2026-08-05	fix	spectregunship	fix(spectregunship): Decouple particle system in SpectreGunshipUpdate::update from logic crc (#3055)		GeneralsMD	1
d3b384604	2026-08-05	bugfix	aiupdate	bugfix(aiupdate): Prevent units from deploying when moving (#3016)		GeneralsMD	1
dc6c595e8	2026-08-04	tweak	gui	tweak(gui): Decouple GUI window-move animations from the render frame rate (#2833)		GeneralsMD	6
c090d2882	2026-08-02	unify	win32device	unify(win32device): Move Win32Device to Core (#3046)		Core;GeneralsMD	10
620a173c6	2026-08-03	bugfix	gamefont	bugfix(gamefont): Lift the upper font point size limit of 100 (#3051)		Core	1
c95cf1c11	2026-08-02	unify	precompiled	unify(precompiled): Move Precompiled to Core (#3050)		Core;GeneralsMD	8
849bee3d2	2026-08-02	feat	object	feat(object): Implement KINDOF_NO_ATTACK_WARNING to suppress alarm events on object attacks (#2862)		GeneralsMD	6
bb5168c8d	2026-08-02	unify	bezier	unify(bezier): Move Bezier to Core (#3047)		Core;GeneralsMD	12
c11f37d4f	2026-08-02	bugfix	shroud	bugfix(shroud): Fix texture access bounds in W3DShroud::getShroudLevel() (#3045)	ZH-15	GeneralsMD	2
bf9099f2a	2026-08-01	unify	commandline	unify(commandline): Move CommandLine to Core (#3037)		Core;GeneralsMD	8
8d39ede9b	2026-08-01	unify	common	unify(common): Move DamageFX, Dict, DiscreteCircle, Language, MessageStream... to Core (#3038)	ZH-05	Core;GeneralsMD	40
c830622d1	2026-08-01	unify	ww3d2	unify(ww3d2): Move ww3d to Core (#3012)		Core;GeneralsMD	12
1b55ab36d	2026-08-01	refactor	commandxlat	refactor(commandxlat): Split evaluateContextCommand into per-command handlers (#3008)		Core	2
82a427539	2026-08-01	chore		chore: Restore full relative include visibility in WWVegas libraries (#3032)	ZH-14;ZH-19	Core;GeneralsMD	112
71d40c061	2026-07-31	bugfix	debug	bugfix(debug): Skip system-modal crash dialogs in headless runs (#3030)		Core	1
a3d859a31	2026-07-31	refactor	smudge	refactor(smudge): Replace custom doubly linked list with std::deque in W3DSmudge (#3021)	ZH-22	Core	3
f51b28047	2026-07-30	chore	network	chore(network): Remove obsolete HTTP Proxy option (#3009)		Core;GeneralsMD	4
1a7c1ef74	2026-07-30	chore	network	chore(network): Remove legacy Send Delay (#3007)		Core;GeneralsMD	14
f3051c026	2026-07-30	chore		chore: Remove redundant void argument from functions (3) (#3027)	ZH-19	Core;GeneralsMD	310
788f63aea	2026-03-30	perf	terrain	perf(terrain): Hoist global light ray computation out of per-vertex loop	ZH-04	Core	3
e760b3695	2026-07-26	chore	string	chore(string): Implement AsciiString::toUpper() (#3020)		Core	2
8313abda6	2026-07-26	fix	string	fix(string): Fix character length limit and unnecessary allocation in AsciiString::toLower() (#3020)		Core	1
51386f3e8	2026-07-28	fix	displaystring	fix(displaystring): Guard null bold font pointer in W3DDisplayString::setFont() (#2893)		GeneralsMD	2
4ac829fc6	2026-07-27	tweak	gui	tweak(gui): Show Money Per Minute in Player Info List (#2738)		GeneralsMD	4
a54d97dec	2026-07-18	unify	particlesys	unify(particlesys): Move W3DParticleSys to Core (#3014)	ZH-10	Core;GeneralsMD	6
fcd438377	2026-07-26	bugfix	replay	bugfix(replay): Handle replay deletion during version mismatch prompt (#1837)		GeneralsMD	4
6b054cb00	2026-07-26	bugfix	saveload	bugfix(saveload): Fix aircraft carrier losing its order when saving (#2996)		GeneralsMD	1
070053c9e	2026-07-26	bugfix	savegame	bugfix(savegame): Fix aircraft carrier ramp state serialized out of bounds (#2997)		GeneralsMD	1
b3d3a0623	2026-07-24	perf	view	perf(view): Cache only latest screen-to-terrain result (#2992)	ZH-04	Core;GeneralsMD	10
a20992d25	2026-07-24	bugfix	contain	bugfix(contain): Restore retail compatibility after changes to Object::m_containedByID (#2868)		GeneralsMD	5
810371bb0	2026-07-24	perf	network	perf(network): Reduce loop complexity for transport messages and remove unused static variables (#2659)		Core	4
f74fbee93	2026-07-23	bugfix	particlesys	bugfix(particlesys): Prevent accumulation of particle systems in headless mode (#3006)	ZH-10	Core	1
fad793540	2026-07-23	bugfix	fxlist	bugfix(fxlist): Fix unreliable terrain layer selection of particles using CreateAtGroundHeight (#3004)		Core	1
12f7de913	2026-07-23	bugfix	behavior	bugfix(behavior): Do not fire weapons via the InstantDeathBehavior module while under construction (#3002)		GeneralsMD	2
84e74023c	2026-07-22	bugfix	saveload	bugfix(saveload): Serialize base state machine in TurretStateMachine and DozerActionStateMachine (#2896)		GeneralsMD	4
6aab9543f	2026-07-23	bugfix	behavior	bugfix(behavior): Allow multiple InstantDeathBehavior modules to be processed (#2990)		GeneralsMD	2
1f47110b5	2026-07-23	bugfix	weapon	bugfix(weapon): Sniper weapons can no longer fire upon empty Stinger Sites (#2822)		Core;GeneralsMD	5
9f7abb866	2026-07-21	tweak	intro	tweak(intro): Implement intro skipping with ESC button (#2879)		Core;GeneralsMD	11
5df389c92	2026-07-21	bugfix	gui	bugfix(gui): Fix black fade out at the end of the map load screen (#2889)		Core;GeneralsMD	6
3778f20b5	2026-07-20	chore		chore: Use qualified include paths for WWVegas headers (2) (#2881)	ZH-01;ZH-02;ZH-03;ZH-08;ZH-14;ZH-15;ZH-17;ZH-18;ZH-19;ZH-20;ZH-24	Core;GeneralsMD	250
e378776c8	2026-07-19	tweak	cmake	tweak(cmake): Use GameSpy SDK from TheSuperHackers repository (#2884)			1
ff6ac21aa	2026-07-19	bugfix	gamelogic	bugfix(gamelogic): Map player index to slot index for CRC validation (#2857)		GeneralsMD	6
fe72137f3	2026-06-29	bugfix	heightmap	bugfix(heightmap): Prevent full terrain rebuild on every frame when DrawEntireTerrain is enabled (#2846)	ZH-04	Core	6
cc6e4bc02	2026-06-29	chore	heightmap	chore(heightmap): Remove remnants of unimplemented Stretch Terrain and Half Height Map (#2846)	ZH-04;ZH-06	Core;GeneralsMD	10
da5ee9709	2026-07-19	fix	bitflags	fix(bitflags): Prevent linker errors from multiple defined BitFlags<N>::s_bitNameList (#2888)		Core;GeneralsMD	21
769c7c7c3	2026-07-19	chore		chore: Replace CPP_11(= delete) with FUNCTION_DELETE macro to help clang format (#2885)		Core;GeneralsMD	9
69e1ea2f6	2026-07-19	chore		chore: Remove empty braces in macros to help clang format (#2883)	ZH-18	Core;GeneralsMD	21
b3f3a9a85	2026-07-18	chore		chore: Use qualified include paths for WWVegas headers (1)	ZH-04;ZH-06;ZH-07;ZH-09;ZH-14;ZH-19;ZH-21;ZH-22;ZH-25	Core	398
bb0a3f743	2026-07-17	feat	screenshot	feat(screenshot): Add threaded JPEG/PNG screenshots without game stalls (#1785)		Core;GeneralsMD	33
355e006f8	2026-02-07	feat	intro	feat(intro): Add short Intro Logo for The Super Hackers team (#2267)		Core;GeneralsMD	8
49506a77c	2026-02-05	tweak	intro	tweak(intro): Remove superfluous legal page window from intro sequence (#2267)		Core	2
90a47ac49	2026-02-05	fix	intro	fix(intro): Remove non functional copyright string and simplify logo movie code (#2267)		Core;GeneralsMD	6
49760b544	2026-02-05	refactor	intro	refactor(intro): Simplify the intro state machine in Intro class (#2267)		Core;GeneralsMD	12
a5f85390e	2026-02-07	refactor	intro	refactor(intro): Move intro related code to new file and class (#2267)		Core;GeneralsMD	7
36ba5b06a	2026-07-15	refactor	sphere	refactor(sphere): Zero initialize SphereClass by default and add Is_Valid function (#2855)	ZH-08	Core;GeneralsMD	11
ca9358fcc	2026-07-13	tweak	gamemessage	tweak(gamemessage): Reduce number of MSG_DESTROY_SELECTED_GROUP messages (#2668)		Core;GeneralsMD	11
b70e16078	2026-07-08	unify	ini	unify(ini): Move INI parser files to Core (#2863)		Core;GeneralsMD	52
fa2761324	2026-07-11	bugfix	gameengine	bugfix(gameengine): Prevent logic time accumulation while the game is halted (#2865)		GeneralsMD	2
a05e8405d	2026-07-10	bugfix	commandxlat	bugfix(commandxlat): Re-enable right mouse click move commands during camera scrolling (#2847)		Core	5
ab5ce4f12	2026-07-09	tweak	controlbar	tweak(controlbar): Decouple the general promotion star blink from the render frame rate (#2835)		Core	2
480a9a753	2026-07-08	bugfix	ini	bugfix(ini): Store every debris model name in GenericObjectCreationNugget::parseDebrisObjectNames (#2597)		GeneralsMD	2
923bb9113	2026-07-08	perf	sortingrenderer	perf(sortingrenderer): Skip z-sorting for nodes without bounding info in SortingRenderer (#2854)		Core	1
c5e3a9e40	2026-07-06	bugfix	logic	bugfix(logic): Restore retail compatibility after change to frozen time check (#2803)		GeneralsMD	4
210bdbfe9	2026-07-01	unify	controlbar	unify(controlbar): Move ControlBar files to Core (#2849)		Core;GeneralsMD	43
2c3b2ca4b	2026-07-01	unify	controlbar	unify(controlbar): Merge ControlBar and related code from Zero Hour (#2849)		GeneralsMD	7
838f9d0fd	2026-07-04	fix	gui	fix(gui): Pace whole-screen fade loop through the frame pacer (#2848)		GeneralsMD	2
